Dataset,AdaBoost [Base],AdaBoost [Logistic Loss],AdaBoost [Hinge Loss],AdaBoost [Squared Loss]
kr-vs-kp,0.9524349569640063,0.9402327856025039,0.6605090962441315,0.9042532276995304
breast-w,0.9604765993988836,0.9619257191927867,0.9413589523400601,0.9648561614426793
credit-approval,0.8621491485613623,0.8667175572519085,0.8636406341749853,0.8636406341749853
credit-g,0.759,0.7569999999999999,0.7,0.717
diabetes,0.761768950004244,0.7669722434428315,0.7461590696884814,0.7669977081741788
spambase,0.939360100080253,0.9313187461643772,0.8448118774488977,0.9067558891563989
tic-tac-toe,0.7724040139616056,0.7411103839441536,0.6534576788830716,0.7359238656195461
electricity,0.795197763866476,0.7676554464271081,0.7568635554453873,0.7623146666534193
pc4,0.9012427623217059,0.8985100974438639,0.8779433225062373,0.8779433225062373
pc3,0.8874027197509626,0.8969914802981895,0.8976304579339723,0.8976304579339723
jm1,0.8109375,0.8082720588235294,0.8067095588235293,0.8067095588235293
kc2,0.8352930402930403,0.8371794871794872,0.818021978021978,0.8391208791208792
kc1,0.8520775404982496,0.8492271842037127,0.8454357150093997,0.8454357150093997
pc1,0.9314622314622316,0.9332681097386979,0.9305613305613306,0.9305613305613306
adult,0.8507807246141889,0.8472647720168629,0.7521559483529818,0.7885321048206313
Bioresponse,0.7627330670217487,0.7539362627607635,0.7368720816688861,0.7459362627607634
wdbc,0.9612948299953423,0.9577705325260053,0.9243440459555969,0.9384257102934326
phoneme,0.7981150854832632,0.775353239455922,0.7381484907664371,0.7779439476479254
qsar-biodeg,0.8454976303317535,0.8312796208530806,0.7478672985781991,0.7895734597156399
ilpd,0.694665487768936,0.698054818744474,0.7134394341290893,0.7134394341290893
madelon,0.6130769230769231,0.6315384615384615,0.6050000000000001,0.6161538461538462
nomao,0.9444073697954446,0.9408965617292905,0.8674307268243145,0.9045988684172348
ozone-level-8hr,0.9412002713006057,0.9372578369233887,0.9368625800063926,0.9368625800063926
banknote-authentication,0.9948958195089581,0.978136695421367,0.841125414731254,0.8680716655607166
blood-transfusion-service-center,0.7727158836689038,0.7727874720357942,0.7620850111856823,0.7620850111856823
PhishingWebsites,0.9329715061058346,0.9251017639077339,0.8473089099954771,0.8473089099954771
cylinder-bands,0.7478571428571429,0.689935064935065,0.6425324675324675,0.6677922077922079
bank-marketing,0.8952909570663674,0.8898719830147211,0.8830151932313463,0.8830151932313463
dresses-sales,0.5768421052631579,0.6078947368421053,0.5978947368421054,0.6178947368421053
climate-model-simulation-crashes,0.9351851851851851,0.937037037037037,0.9148148148148149,0.9148148148148149
wilt,0.9797486475168153,0.961976847539036,0.9460636970437666,0.9460636970437666
numerai28.6,0.521688122923588,0.5213558970099668,0.5213039867109635,0.5227055647840533
Internet-Advertisements,0.9499846397318935,0.9347365481288401,0.909118413703221,0.9082037795568796
churn,0.8814,0.8714000000000001,0.8596,0.8642
