Dataset,Positive Class (%),Negative Class (%),Majority Class (%),AdaBoost [Base] (%),AdaBoost [DT - MaxDepth 3] (%),AdaBoost [Perceptron] (%)
kr-vs-kp,47.78,52.22,52.22,94.09,98.72,96.62
breast-w,34.99,65.01,65.01,96.34,96.78,96.34
credit-approval,54.67,45.33,54.67,87.29,87.59,68.6
credit-g,30.0,70.0,70.0,75.8,76.9,70.0
diabetes,34.9,65.1,65.1,76.96,75.91,66.41
spambase,39.4,60.6,60.6,93.39,94.5,85.57
tic-tac-toe,65.34,34.66,65.34,73.28,98.64,67.02
electricity,57.55,42.45,57.55,77.06,81.5,72.06
pc4,12.21,87.79,87.79,89.3,90.12,86.28
pc3,10.24,89.76,89.76,89.51,88.16,87.4
jm1,19.33,80.67,80.67,80.95,80.87,80.23
kc2,20.5,79.5,79.5,84.1,82.01,77.57
kc1,15.46,84.54,84.54,85.35,85.26,84.59
pc1,6.94,93.06,93.06,93.24,93.69,92.43
adult,75.22,24.78,75.22,85.04,85.34,78.64
Bioresponse,54.23,45.77,54.23,75.98,77.34,72.91
wdbc,37.26,62.74,62.74,96.3,96.83,91.38
phoneme,29.35,70.65,70.65,78.53,83.75,75.06
qsar-biodeg,33.74,66.26,66.26,84.55,86.35,84.36
ilpd,28.64,71.36,71.36,69.64,66.04,70.99
madelon,50.0,50.0,50.0,63.46,74.35,58.12
nomao,71.44,28.56,71.44,94.21,95.55,94.02
ozone-level-8hr,6.31,93.69,93.69,93.73,93.84,93.69
banknote-authentication,44.46,55.54,55.54,99.13,99.71,99.34
blood-transfusion-service-center,23.8,76.2,76.2,77.94,77.26,75.81
PhishingWebsites,55.69,44.31,55.69,92.83,94.12,87.78
cylinder-bands,64.26,35.74,64.26,72.23,77.31,64.25
bank-marketing,11.7,88.3,88.3,89.22,90.16,87.82
dresses-sales,40.4,59.6,59.6,60.68,53.63,54.68
climate-model-simulation-crashes,91.48,8.52,91.48,94.07,93.7,93.89
wilt,5.39,94.61,94.61,97.23,98.51,94.65
numerai28.6,50.52,49.48,50.52,52.15,52.13,51.26
Internet-Advertisements,86.0,14.0,86.0,94.05,96.92,93.02
churn,14.14,85.86,85.86,87.64,94.68,86.02
