Dataset,Positive Class (%),Negative Class (%),Majority Class (%),AdaBoost [Base],AdaBoost [MLP 1 Hidden Layer]
kr-vs-kp,0.47778473091364204,0.522215269086358,0.522215269086358,0.9408587636932708,0.9220862676056338
breast-w,0.34992679355783307,0.6500732064421669,0.6500732064421669,0.9634177758694719,0.9487870330613998
credit-approval,0.5467075038284839,0.45329249617151607,0.5467075038284839,0.8728596594245449,0.6799295361127423
credit-g,0.3,0.7,0.7,0.758,0.7
diabetes,0.3489583333333333,0.6510416666666666,0.6510416666666666,0.7696120872591461,0.6406926406926406
spambase,0.39404477287546186,0.6059552271245382,0.6059552271245382,0.9339272057782184,0.9152322617193033
tic-tac-toe,0.6534446764091858,0.3465553235908142,0.6534446764091858,0.7327552356020942,0.6618346422338568
electricity,0.5754546257062146,0.4245453742937853,0.5754546257062146,0.7706346800723244,0.7536416447578153
pc4,0.12208504801097393,0.877914951989026,0.877914951989026,0.8930188768064774,0.8779433225062373
pc3,0.10236724248240563,0.8976327575175944,0.8976327575175944,0.8950724993855985,0.8976304579339723
jm1,0.1932904411764706,0.8067095588235295,0.8067095588235295,0.8094669117647058,0.8067095588235293
kc2,0.2049808429118774,0.7950191570881227,0.7950191570881227,0.841025641025641,0.8065201465201465
kc1,0.15457562825983878,0.8454243717401612,0.8454243717401612,0.8535004671792505,0.8515979781832919
pc1,0.06943192064923355,0.9305680793507665,0.9305680793507665,0.9323672088377972,0.9305613305613306
adult,0.7521560302507629,0.2478439697492371,0.7521560302507629,0.8504048189931467,0.7732297038567544
Bioresponse,0.5422553985603839,0.4577446014396161,0.5422553985603839,0.7598011540168665,0.7656603639591657
wdbc,0.37258347978910367,0.6274165202108963,0.6274165202108963,0.9630336904207422,0.8804999223723025
phoneme,0.2934863064396743,0.7065136935603257,0.7065136935603257,0.7853463870901429,0.7672098879638194
qsar-biodeg,0.33744075829383885,0.6625592417061611,0.6625592417061611,0.8454976303317536,0.8123222748815166
ilpd,0.2864493996569468,0.7135506003430532,0.7135506003430532,0.6963601532567049,0.7099911582670203
madelon,0.5,0.5,0.5,0.6346153846153846,0.4792307692307693
nomao,0.7143769041056144,0.2856230958943856,0.7143769041056144,0.9420571594371101,0.941883069780937
ozone-level-8hr,0.06314127861089187,0.9368587213891081,0.9368587213891081,0.9372547185256215,0.9368625800063926
banknote-authentication,0.4446064139941691,0.5553935860058309,0.5553935860058309,0.9912568015925679,0.9883450564034506
blood-transfusion-service-center,0.23796791443850268,0.7620320855614974,0.7620320855614974,0.7794451901565995,0.7620850111856823
PhishingWebsites,0.5569425599276345,0.44305744007236547,0.5569425599276345,0.9282677521483492,0.8971506105834465
cylinder-bands,0.6425992779783394,0.3574007220216607,0.6425992779783394,0.7223376623376624,0.6425324675324675
bank-marketing,0.11698480458295547,0.8830151954170445,0.8830151954170445,0.8921722856583146,0.8830373122315673
dresses-sales,0.40404040404040403,0.5959595959595959,0.5959595959595959,0.6068421052631578,0.5457894736842105
climate-model-simulation-crashes,0.9148148148148149,0.08518518518518518,0.9148148148148149,0.9407407407407407,0.9148148148148149
wilt,0.05393676379417235,0.9460632362058277,0.9460632362058277,0.9723087080260158,0.9458568718110882
numerai28.6,0.5051702657807309,0.4948297342192691,0.5051702657807309,0.5214597176079734,0.5212624584717609
Internet-Advertisements,0.8600182982616651,0.13998170173833485,0.8600182982616651,0.9405320238316888,0.9658452802085273
churn,0.1414,0.8586,0.8586,0.8764000000000001,0.8586
